relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed
day3/members/stevan/20_0682.webp,20_0682.webp,webp,134156,b483725d4dd4cb4a09c8010c919acacdab58b75eee400cbe7925129f48914999,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,20_0682,42
day1/members/luca/12_0078.webp,12_0078.webp,webp,95782,bcd9cd8c1c9818fc7e639ce6b68dd04ce73b9deed9ede7b4dc1306bae78693ac,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,12_0078,42
day3/members/tien/14_0649.webp,14_0649.webp,webp,183662,2999c958efaea1cdecc451bc7008d15cc285089ef1596c5bd644064edc9506f1,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,14_0649,42
day2/members/bjorn/16_0250.webp,16_0250.webp,webp,456538,3b72ccc64a451bace6d83d9e519563b0f54023872e91dd4a26fde69dce23de11,3840,2160,bjorn,egocentric,bjorn,day2,ok,valid,day2,16_0250,42
day1/members/stevan/10_0179.webp,10_0179.webp,webp,200560,f0fa2cb74274ae58344894b82b8a96c9fe107d4563a8872ab4eac5128acf4c2a,3840,2160,stevan,egocentric,stevan,day1,ok,valid,day1,10_0179,42
day3/members/werner/08_0619.webp,08_0619.webp,webp,333318,561e4a0d4f59ce27f767755e21795ec61bafeef19e625bfff85f209fea4ab380,3840,2160,werner,egocentric,werner,day3,ok,valid,day3,08_0619,42
day3/members/tien/10_0512.webp,10_0512.webp,webp,97260,b20cb01891dc582b88ecd43cdc2d4e1f4aaecd6c8c61a782a425ce872081f60b,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,10_0512,42
day1/members/werner/14_0048.webp,14_0048.webp,webp,110644,866f323e12e50e9581a0b4dd22f48542cc22c100d9d7d9f8fef253aeb25748b8,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,14_0048,42
day1/members/klaus/17_0206.webp,17_0206.webp,webp,170384,1167e206d410fb45f18d29c7848cb542ebe41f318891288d7453f325a60c673a,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,17_0206,42
day4/members/florian/11_0412.webp,11_0412.webp,webp,295158,4f9a8b82a44664d46c062cd0a439063d68be78f1f250d0778f581edc55df07a5,3840,2160,florian,egocentric,florian,day4,ok,valid,day4,11_0412,42
day1/members/allie/18_0412.webp,18_0412.webp,webp,105466,23b19a0c8786c7384f7fc2c15858fa9539ecfc27db6f55ca8b41f2af5c5b6f4a,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,18_0412,42
day2/members/klaus/18_0601.webp,18_0601.webp,webp,285326,3673635377aecbb7ae192cbcc8d840fefcac7cdf9fd8ce696eaf85855d957dc9,3840,2160,klaus,egocentric,klaus,day2,ok,valid,day2,18_0601,42
day4/members/allie/12_0604.webp,12_0604.webp,webp,135564,57a3a5902cca0699797047b21b18b092834f2e1dba4687206f77bd03f71e1d1f,3840,2160,allie,egocentric,allie,day4,ok,valid,day4,12_0604,42
day1/members/onanong/08_0572.webp,08_0572.webp,webp,183098,b8effcf0c1b28b058d2c2dd55fc016fb071c929453d2c2eee622e419ea50fcb3,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,08_0572,42
day3/members/stevan/09_0286.webp,09_0286.webp,webp,150550,45ef4290a7d69d1be50488391a587767b568238f6f4a598451a01c9109d86d3b,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,09_0286,42
day3/members/tien/20_0434.webp,20_0434.webp,webp,171442,ce0ab71b85123abfe957ed586579c163bb7539d52c412f2a84c8111606111393,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,20_0434,42
day4/members/werner/18_0362.webp,18_0362.webp,webp,156872,2e1da6d8d980c63dd084d413c21e129c0892770537d3653de422b24d533c52b8,3840,2160,werner,egocentric,werner,day4,ok,valid,day4,18_0362,42
day1/members/cathal/12_0342.webp,12_0342.webp,webp,246994,9a6fa90fdbcf7018b5587cd84068fce49f5e171175f139368d5d1b454ffe06e1,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,12_0342,42
day3/members/florian/19_0198.webp,19_0198.webp,webp,215508,f5554ae6f2e973c176309f9948a771af5cc20aa7f8c0978fbf91758762af8d29,3840,2160,florian,egocentric,florian,day3,ok,valid,day3,19_0198,42
day4/members/allie/18_0334.webp,18_0334.webp,webp,124464,e39a1dc1b6841d10c0e472d5faa5a9d8ebfcb156fddb7849e3b15e111f77a2cc,3840,2160,allie,egocentric,allie,day4,ok,valid,day4,18_0334,42
