relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed
day3/members/stevan/11_0546.webp,11_0546.webp,webp,194554,0a0f4954b049ab0dd66c14b5b742e6b4bae64ec9afba67b0fcc5f7605d7fbd73,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,11_0546,42
day1/members/luca/11_0360.webp,11_0360.webp,webp,249284,8fb45535ffb70cb4e1db96e98dfc0c996c81fe25238b11dceb6a97a1a5aa9cc3,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,11_0360,42
day3/members/tien/15_0003.webp,15_0003.webp,webp,216220,d61c90f3366c67326ae62739d02d712c772740b5bcbb0f1afe7b392a8db2f7c4,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,15_0003,42
day2/members/bjorn/17_0341.webp,17_0341.webp,webp,356208,0f1dcc2757facbf659d55e85ce84ae0178831bacb70073d60aeaf96990022f9f,3840,2160,bjorn,egocentric,bjorn,day2,ok,valid,day2,17_0341,42
day1/members/stevan/14_0277.webp,14_0277.webp,webp,271276,6c1c49fe8388598b18e9b0559a84608e0b2ad4cef7c61e05a122059168daa318,3840,2160,stevan,egocentric,stevan,day1,ok,valid,day1,14_0277,42
day3/members/werner/16_0642.webp,16_0642.webp,webp,200048,0b736994722e7d201d6a074cd8bbdf115421825a0c8981865bd3e499e7775bfb,3840,2160,werner,egocentric,werner,day3,ok,valid,day3,16_0642,42
day3/members/tien/20_0668.webp,20_0668.webp,webp,197188,6872e789051c46a8db6c133e7664a208ae29da89c576816819cbe8481b41f822,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,20_0668,42
day1/members/werner/18_0414.webp,18_0414.webp,webp,223056,284c969a1dfc21c7a93ec25c005024320575e1bda769b4bf60a506ff6cd7be32,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,18_0414,42
day1/members/klaus/08_0415.webp,08_0415.webp,webp,176846,e4f61a46441d98b32529c0f9a73ff3b9dfbf0f9fe29b2674c092067549a599ad,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,08_0415,42
day4/members/florian/14_0019.webp,14_0019.webp,webp,152034,ef9a62c606e87247065423f89a14e8e8713e05800bc7427abe9eef3f8f801343,3840,2160,florian,egocentric,florian,day4,ok,valid,day4,14_0019,42
day1/members/allie/15_0148.webp,15_0148.webp,webp,153564,70d290df9532d1a99ae21b62ff39a4bd2c718ea54bacfe68431c32eb1cd9c3b3,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,15_0148,42
day2/members/klaus/13_0438.webp,13_0438.webp,webp,229386,631400785789d59154bba010c404cf9d3825b377571b6ef75529b9dc0e0c63c6,3840,2160,klaus,egocentric,klaus,day2,ok,valid,day2,13_0438,42
day4/members/allie/11_0226.webp,11_0226.webp,webp,126758,c1629df9bbed06e08d3854a8c8797c95ec613bc9248048b5ef4bc573d72c2d27,3840,2160,allie,egocentric,allie,day4,ok,valid,day4,11_0226,42
day1/members/onanong/14_0475.webp,14_0475.webp,webp,370792,45b648b3722a00b94e1437f52cf8d17205abb39c92f008df17f57b7aaec767f7,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,14_0475,42
day3/members/stevan/13_0254.webp,13_0254.webp,webp,247270,7b3bbdbeed9211a483c1be8a20c539dfe99e39d08c905ea17be3b4ef40057489,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,13_0254,42
day3/members/tien/11_0172.webp,11_0172.webp,webp,163110,75a2341051a5e68a8c81ec92bf0b593dee975409908509a84379a8da52faaa82,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,11_0172,42
day4/members/werner/14_0127.webp,14_0127.webp,webp,179058,b9e095f1d03fa719c0e2ac9ea10371b460e4a00090f9bbfa02ef4c224afef4e8,3840,2160,werner,egocentric,werner,day4,ok,valid,day4,14_0127,42
day1/members/cathal/15_0700.webp,15_0700.webp,webp,244386,d1645cd1c4840c399a8de68f9a1d17dc3b9241533a1ce37a3dbf5724074fccc0,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,15_0700,42
day3/members/florian/20_0331.webp,20_0331.webp,webp,240670,a62892b7f9366c5f6cb6472245f0256491d053fbb110e320ab9da68079380623,3840,2160,florian,egocentric,florian,day3,ok,valid,day3,20_0331,42
day4/members/allie/08_0286.webp,08_0286.webp,webp,163918,89834e06ba4ec378f768ed88c25e5d0999a6d3638a3707edef2a76941abeb1da,3840,2160,allie,egocentric,allie,day4,ok,valid,day4,08_0286,42
day4/members/werner/10_0612.webp,10_0612.webp,webp,202876,0537cb1c38cedfd450613e5fc2c58a2894d4c0a30ba920fe5095ad1a00219ee9,3840,2160,werner,egocentric,werner,day4,ok,valid,day4,10_0612,42
day4/members/werner/08_0207.webp,08_0207.webp,webp,218776,111aaa6f8a172a4a081969e5935f3374423a73565994712c90e515cae8e15061,3840,2160,werner,egocentric,werner,day4,ok,valid,day4,08_0207,42
day3/members/bjorn/12_0491.webp,12_0491.webp,webp,992676,50f67dbb486a6ab2d38ac52902a28e8464acb83562ecf860003b167c57a4b5c6,3840,2160,bjorn,egocentric,bjorn,day3,ok,valid,day3,12_0491,42
day3/members/onanong/10_0300.webp,10_0300.webp,webp,202378,372f8b5049056be537a72ddc7bd4abac073070abcf57e0c9c9cca449d13039ad,3840,2160,onanong,egocentric,onanong,day3,ok,valid,day3,10_0300,42
day1/members/luca/14_0397.webp,14_0397.webp,webp,269240,2746a1c1ab4ef173b544c7773bd523b8cec47ac614ed126e5d69ca560614fbe6,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,14_0397,42
day4/members/luca/08_0033.webp,08_0033.webp,webp,218634,adbb4b18184527f6337055517a736240e2bf72f634c4bedf94050b9527c26164,3840,2160,luca,egocentric,luca,day4,ok,valid,day4,08_0033,42
day4/members/werner/10_0394.webp,10_0394.webp,webp,208508,0b4cac6d8dcd5d72f3061d7b480f41eb7c6ecfcc905e2d8612f83d418eeb45c7,3840,2160,werner,egocentric,werner,day4,ok,valid,day4,10_0394,42
day2/members/luca/13_0221.webp,13_0221.webp,webp,118900,283ace4bea983cfb8bc7f50249b8e38231ab28d51dc67cb6903962bfdc51113a,3840,2160,luca,egocentric,luca,day2,ok,valid,day2,13_0221,42
