relative_path,method,output_path,status,box_count,runtime_seconds
day3/members/stevan/20_0682.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/stevan/20_0682.webp,ok,5,16.623069160474
day1/members/luca/12_0078.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/luca/12_0078.webp,copied_no_face,0,16.623069160474
day3/members/tien/14_0649.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/tien/14_0649.webp,ok,7,16.623069160474
day2/members/bjorn/16_0250.webp,falco,outputs/03_anonymisation/13_falco/images/day2/members/bjorn/16_0250.webp,copied_no_face,0,16.623069160474
day1/members/stevan/10_0179.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/stevan/10_0179.webp,ok,4,16.623069160474
day3/members/werner/08_0619.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/werner/08_0619.webp,ok,2,16.623069160474
day3/members/tien/10_0512.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/tien/10_0512.webp,copied_no_face,0,16.623069160474
day1/members/werner/14_0048.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/werner/14_0048.webp,copied_no_face,0,16.623069160474
day1/members/klaus/17_0206.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/klaus/17_0206.webp,ok,2,16.623069160474
day4/members/florian/11_0412.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/florian/11_0412.webp,ok,3,16.623069160474
day1/members/allie/18_0412.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/allie/18_0412.webp,ok,3,16.623069160474
day2/members/klaus/18_0601.webp,falco,outputs/03_anonymisation/13_falco/images/day2/members/klaus/18_0601.webp,ok,2,16.623069160474
day4/members/allie/12_0604.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/allie/12_0604.webp,ok,3,16.623069160474
day1/members/onanong/08_0572.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/onanong/08_0572.webp,ok,2,16.623069160474
day3/members/stevan/09_0286.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/stevan/09_0286.webp,ok,2,16.623069160474
day3/members/tien/20_0434.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/tien/20_0434.webp,ok,3,16.623069160474
day4/members/werner/18_0362.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/werner/18_0362.webp,copied_no_face,0,16.623069160474
day1/members/cathal/12_0342.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/cathal/12_0342.webp,ok,4,16.623069160474
day3/members/florian/19_0198.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/florian/19_0198.webp,ok,1,16.623069160474
day4/members/allie/18_0334.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/allie/18_0334.webp,ok,1,16.623069160474
day4/members/werner/09_0017.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/werner/09_0017.webp,copied_no_face,0,16.623069160474
day4/members/werner/12_0528.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/werner/12_0528.webp,ok,3,16.623069160474
day3/members/bjorn/20_0140.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/bjorn/20_0140.webp,ok,5,16.623069160474
day3/members/onanong/15_0413.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/onanong/15_0413.webp,ok,2,16.623069160474
day1/members/luca/13_0044.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/luca/13_0044.webp,ok,1,16.623069160474
day4/members/luca/11_0578.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/luca/11_0578.webp,ok,6,16.623069160474
day4/members/werner/18_0672.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/werner/18_0672.webp,ok,3,16.623069160474
day2/members/luca/11_0416.webp,falco,outputs/03_anonymisation/13_falco/images/day2/members/luca/11_0416.webp,ok,5,16.623069160474
day1/members/stevan/08_0631.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/stevan/08_0631.webp,copied_no_face,0,16.623069160474
day3/members/luca/17_0412.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/luca/17_0412.webp,ok,4,16.623069160474
day4/members/onanong/13_0378.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/onanong/13_0378.webp,ok,6,16.623069160474
day3/members/luca/11_0126.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/luca/11_0126.webp,ok,3,16.623069160474
day4/members/cathal/13_0074.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/cathal/13_0074.webp,ok,7,16.623069160474
day2/members/cathal/19_0687.webp,falco,outputs/03_anonymisation/13_falco/images/day2/members/cathal/19_0687.webp,ok,3,16.623069160474
day1/members/allie/09_0273.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/allie/09_0273.webp,ok,6,16.623069160474
day3/members/luca/13_0698.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/luca/13_0698.webp,ok,1,16.623069160474
day4/members/allie/09_0480.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/allie/09_0480.webp,ok,1,16.623069160474
day1/members/luca/18_0040.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/luca/18_0040.webp,ok,1,16.623069160474
day2/members/luca/10_0654.webp,falco,outputs/03_anonymisation/13_falco/images/day2/members/luca/10_0654.webp,ok,4,16.623069160474
day1/members/klaus/10_0063.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/klaus/10_0063.webp,ok,1,16.623069160474
day3/members/tien/20_0155.webp,falco,outputs/03_anonymisation/13_falco/images/day3/members/tien/20_0155.webp,ok,3,16.623069160474
day1/members/onanong/08_0611.webp,falco,outputs/03_anonymisation/13_falco/images/day1/members/onanong/08_0611.webp,ok,1,16.623069160474
day4/members/stevan/13_0714.webp,falco,outputs/03_anonymisation/13_falco/images/day4/members/stevan/13_0714.webp,ok,4,16.623069160474
