relative_path,method,output_path,status,box_count,runtime_seconds
day1/members/klaus/09_0114.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/09_0114.webp,ok,5,0.7736770106548189
day1/members/klaus/09_0268.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/09_0268.webp,ok,7,1.5310399362896314
day1/members/klaus/10_0063.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/10_0063.webp,ok,1,0.6997171593851936
day1/members/klaus/10_0589.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/10_0589.webp,ok,9,1.7332190083362118
day1/members/klaus/11_0523.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/11_0523.webp,ok,2,0.8918125875208559
day1/members/klaus/12_0400.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/12_0400.webp,ok,0,0.0
day1/members/klaus/12_0632.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/12_0632.webp,ok,2,0.32362658752085594
day1/members/klaus/15_0547.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/15_0547.webp,ok,0,0.0
day1/members/klaus/16_0531.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/16_0531.webp,ok,1,0.6481921593851936
day1/members/klaus/17_0002.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/17_0002.webp,ok,1,0.20688564204432164
day1/members/klaus/17_0206.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/17_0206.webp,ok,2,0.7987636222025998
day1/members/klaus/17_0521.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/17_0521.webp,ok,4,0.6369705478374125
day1/members/werner/08_0280.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/werner/08_0280.webp,ok,1,0.20688564204432164
day1/members/werner/10_0429.webp,adaptive_artifact_gated_policy,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/werner/10_0429.webp,ok,7,0.9073313149035277
