fold,relative_path,policy_category,selected_method,score,privacy,utility,selection_source
1,day1/members/klaus/09_0114.webp,mixed_scale_face,riddle,0.8550771684196782,1.0,0.5595151549370858,train_fold_category
1,day1/members/klaus/09_0268.webp,medium_face,riddle,0.8713223064467401,1.0,0.6291372729961658,train_fold_category
1,day1/members/klaus/10_0063.webp,single_face,riddle,0.8473497619592408,1.0,0.5001561741129918,train_fold_category
1,day1/members/klaus/10_0589.webp,small_face,riddle,0.8598388885191539,1.0,0.6034274134935161,train_fold_category
1,day1/members/klaus/11_0523.webp,single_face,riddle,0.8774274852995209,1.0,0.6066325765605233,train_fold_category
1,day1/members/klaus/12_0400.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
1,day1/members/klaus/12_0632.webp,motion_blur_or_low_sharpness,riddle,0.896287164584399,1.0,0.669498174176784,train_fold_category
1,day1/members/klaus/15_0547.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
1,day1/members/klaus/16_0531.webp,single_face,riddle,0.8727648724105876,1.0,0.5848732089508146,train_fold_category
1,day1/members/klaus/17_0002.webp,single_face,riddle,0.8603184042792962,1.0,0.5420872573090461,train_fold_category
1,day1/members/klaus/17_0206.webp,medium_face,riddle,0.8595751561276415,1.0,0.5496553123915284,train_fold_category
1,day1/members/klaus/17_0521.webp,medium_face,riddle,0.8913920743199938,1.0,0.6725059083980158,train_fold_category
1,day1/members/werner/08_0280.webp,single_face,riddle,0.8476629739970554,1.0,0.49990248970157675,train_fold_category
1,day1/members/werner/10_0429.webp,small_face,riddle,0.8983302906377016,1.0,0.7113610610217866,train_fold_category
1,day1/members/werner/11_0515.webp,single_face,riddle,0.8893531389534111,1.0,0.6388697062227622,train_fold_category
1,day1/members/werner/11_0547.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
1,day1/members/werner/13_0365.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
1,day1/members/werner/13_0606.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
1,day1/members/werner/14_0048.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
1,day1/members/werner/14_0080.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
1,day1/members/werner/15_0198.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
1,day1/members/werner/15_0199.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
1,day1/members/werner/15_0312.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
1,day1/members/werner/17_0457.webp,no_face,no_action_copy,1.0,1.0,1.0,verified_no_face
