protocol_id,image_id,evaluation_split,ground_truth_risk_state,predicted_risk_state,variant,screen_area_threshold,ground_truth_text_count,ground_truth_screen_count,predicted_text_count,predicted_screen_count,privacy_score,text_ocr_suppression_rate,text_ocr_privacy_score,text_region_obscuration,screen_region_obscuration,utility_score,SSIM,LPIPS,non_sensitive_change_fraction,runtime_seconds,runtime_score,success_score,multimodal_anonymisation_score
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_fill_screen_blur,,0,0,1,0,1.0,,,,,0.9688863929795595,0.9942823477958384,0.0028254780918359756,0.004940200617283951,0.006731071000103839,0.9932689289998962,1.0,0.9899928107938574
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_blur_screen_blur,,0,0,1,0,1.0,,,,,0.9924180099327802,0.9997601404891787,0.0007462060311809182,0.00031635802469135804,0.009149401987087913,0.9908505980129121,1.0,0.9968104627811252
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_pixelate_screen_pixelate,,0,0,1,0,1.0,,,,,0.9963723115001308,0.9998179114344466,0.0003536644217092544,0.00023919753086419754,0.0064707059937063605,0.9935292940062936,1.0,0.9982646228506686
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_fill_screen_fill,,0,0,1,0,1.0,,,,,0.9688863929795595,0.9942823477958384,0.0028254780918359756,0.004940200617283951,0.006236661996808834,0.9937633380031912,1.0,0.9900422516941868
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_blur_screen_fill,,0,0,1,0,1.0,,,,,0.9924180099327802,0.9997601404891787,0.0007462060311809182,0.00031635802469135804,0.007090240003890358,0.9929097599961096,1.0,0.997016378979445
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_pixelate_screen_blur,,0,0,1,0,1.0,,,,,0.9963723115001308,0.9998179114344466,0.0003536644217092544,0.00023919753086419754,0.005974201005301438,0.9940257989946986,1.0,0.9983142733495092
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_fill_screen_blur,,0,1,0,2,0.35576942532325473,,,,0.35576942532325473,0.6942934966543879,0.9839478386361532,0.029768042266368866,0.012559676827029012,0.012817253009416163,0.9871827469905838,1.0,0.5848910363570021
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_blur_screen_blur,,0,1,0,2,0.35576942532325473,,,,0.35576942532325473,0.6942934966543879,0.9839478386361532,0.029768042266368866,0.012559676827029012,0.015109131010831334,0.9848908689891687,1.0,0.5846618485568607
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_pixelate_screen_pixelate,,0,1,0,2,0.26265660246016553,,,,0.26265660246016553,0.9285847714496926,0.9938532379176767,0.006834184750914574,0.009734890968824132,0.007475200996850617,0.9925247990031494,1.0,0.6091562125653055
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_fill_screen_fill,,0,1,0,2,0.9561434050360151,,,,0.9561434050360151,0.47556168296349116,0.9511233659269823,0.057454921305179596,0.018675745153894256,0.0067333670012885705,0.9932666329987114,1.0,0.8200668707069261
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_blur_screen_fill,,0,1,0,2,0.9561434050360151,,,,0.9561434050360151,0.47556168296349116,0.9511233659269823,0.057454921305179596,0.018675745153894256,0.00691966200247407,0.9930803379975259,1.0,0.8200482412068075
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_pixelate_screen_blur,,0,1,0,2,0.35576942532325473,,,,0.35576942532325473,0.6942934966543879,0.9839478386361532,0.029768042266368866,0.012559676827029012,0.012563434007461183,0.9874365659925388,1.0,0.5849164182571976
