review_id,relative_path,source_condition,boxes_count,output_path
1,day3/members/stevan/20_0682.webp,manifest_fill,5,outputs/03_anonymisation/04_diffusion/images/day3/members/stevan/20_0682.webp
2,day1/members/luca/12_0078.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day1/members/luca/12_0078.webp
3,day3/members/tien/14_0649.webp,manifest_fill,7,outputs/03_anonymisation/04_diffusion/images/day3/members/tien/14_0649.webp
4,day2/members/bjorn/16_0250.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day2/members/bjorn/16_0250.webp
5,day1/members/stevan/10_0179.webp,manifest_fill,4,outputs/03_anonymisation/04_diffusion/images/day1/members/stevan/10_0179.webp
6,day3/members/werner/08_0619.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day3/members/werner/08_0619.webp
7,day3/members/tien/10_0512.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day3/members/tien/10_0512.webp
8,day1/members/werner/14_0048.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day1/members/werner/14_0048.webp
9,day1/members/klaus/17_0206.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day1/members/klaus/17_0206.webp
10,day4/members/florian/11_0412.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day4/members/florian/11_0412.webp
11,day1/members/allie/18_0412.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day1/members/allie/18_0412.webp
12,day2/members/klaus/18_0601.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day2/members/klaus/18_0601.webp
13,day4/members/allie/12_0604.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day4/members/allie/12_0604.webp
14,day1/members/onanong/08_0572.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day1/members/onanong/08_0572.webp
15,day3/members/stevan/09_0286.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day3/members/stevan/09_0286.webp
16,day3/members/tien/20_0434.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day3/members/tien/20_0434.webp
17,day4/members/werner/18_0362.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day4/members/werner/18_0362.webp
18,day1/members/cathal/12_0342.webp,manifest_fill,4,outputs/03_anonymisation/04_diffusion/images/day1/members/cathal/12_0342.webp
19,day3/members/florian/19_0198.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day3/members/florian/19_0198.webp
20,day4/members/allie/18_0334.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day4/members/allie/18_0334.webp
21,day4/members/werner/09_0017.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day4/members/werner/09_0017.webp
22,day4/members/werner/12_0528.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day4/members/werner/12_0528.webp
23,day3/members/bjorn/20_0140.webp,manifest_fill,5,outputs/03_anonymisation/04_diffusion/images/day3/members/bjorn/20_0140.webp
24,day3/members/onanong/15_0413.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day3/members/onanong/15_0413.webp
25,day1/members/luca/13_0044.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day1/members/luca/13_0044.webp
26,day4/members/luca/11_0578.webp,manifest_fill,6,outputs/03_anonymisation/04_diffusion/images/day4/members/luca/11_0578.webp
27,day4/members/werner/18_0672.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day4/members/werner/18_0672.webp
28,day2/members/luca/11_0416.webp,manifest_fill,5,outputs/03_anonymisation/04_diffusion/images/day2/members/luca/11_0416.webp
29,day1/members/stevan/08_0631.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day1/members/stevan/08_0631.webp
30,day3/members/luca/17_0412.webp,manifest_fill,4,outputs/03_anonymisation/04_diffusion/images/day3/members/luca/17_0412.webp
31,day4/members/onanong/13_0378.webp,manifest_fill,6,outputs/03_anonymisation/04_diffusion/images/day4/members/onanong/13_0378.webp
32,day3/members/luca/11_0126.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day3/members/luca/11_0126.webp
33,day4/members/cathal/13_0074.webp,manifest_fill,7,outputs/03_anonymisation/04_diffusion/images/day4/members/cathal/13_0074.webp
34,day2/members/cathal/19_0687.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day2/members/cathal/19_0687.webp
35,day1/members/allie/09_0273.webp,manifest_fill,6,outputs/03_anonymisation/04_diffusion/images/day1/members/allie/09_0273.webp
36,day3/members/luca/13_0698.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day3/members/luca/13_0698.webp
37,day4/members/allie/09_0480.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day4/members/allie/09_0480.webp
38,day1/members/luca/18_0040.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day1/members/luca/18_0040.webp
39,day2/members/luca/10_0654.webp,manifest_fill,4,outputs/03_anonymisation/04_diffusion/images/day2/members/luca/10_0654.webp
40,day1/members/klaus/10_0063.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day1/members/klaus/10_0063.webp
41,day3/members/tien/20_0155.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day3/members/tien/20_0155.webp
42,day1/members/onanong/08_0611.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day1/members/onanong/08_0611.webp
43,day4/members/stevan/13_0714.webp,manifest_fill,4,outputs/03_anonymisation/04_diffusion/images/day4/members/stevan/13_0714.webp
44,day2/members/florian/12_0020.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day2/members/florian/12_0020.webp
45,day1/members/cathal/09_0001.webp,manifest_fill,5,outputs/03_anonymisation/04_diffusion/images/day1/members/cathal/09_0001.webp
46,day1/members/luca/08_0225.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day1/members/luca/08_0225.webp
47,day1/members/allie/14_0135.webp,manifest_fill,5,outputs/03_anonymisation/04_diffusion/images/day1/members/allie/14_0135.webp
48,day1/members/allie/10_0099.webp,manifest_fill,4,outputs/03_anonymisation/04_diffusion/images/day1/members/allie/10_0099.webp
49,day4/members/bao/08_0028.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day4/members/bao/08_0028.webp
50,day1/members/bjorn/18_0340.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day1/members/bjorn/18_0340.webp
51,day1/members/luca/15_0236.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day1/members/luca/15_0236.webp
52,day2/members/florian/19_0363.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day2/members/florian/19_0363.webp
53,day1/members/werner/18_0484.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day1/members/werner/18_0484.webp
54,day4/members/allie/08_0040.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day4/members/allie/08_0040.webp
55,day2/members/klaus/12_0264.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day2/members/klaus/12_0264.webp
56,day1/members/florian/08_0717.webp,manifest_fill,5,outputs/03_anonymisation/04_diffusion/images/day1/members/florian/08_0717.webp
57,day2/members/allie/13_0355.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day2/members/allie/13_0355.webp
58,day1/members/bjorn/15_0004.webp,manifest_fill,4,outputs/03_anonymisation/04_diffusion/images/day1/members/bjorn/15_0004.webp
59,day2/members/klaus/10_0629.webp,manifest_fill,5,outputs/03_anonymisation/04_diffusion/images/day2/members/klaus/10_0629.webp
60,day1/members/luca/08_0069.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day1/members/luca/08_0069.webp
61,day4/members/werner/08_0337.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day4/members/werner/08_0337.webp
62,day2/members/werner/17_0115.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day2/members/werner/17_0115.webp
63,day3/members/klaus/12_0484.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day3/members/klaus/12_0484.webp
64,day4/members/stevan/13_0149.webp,manifest_fill,4,outputs/03_anonymisation/04_diffusion/images/day4/members/stevan/13_0149.webp
65,day1/members/luca/08_0716.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day1/members/luca/08_0716.webp
66,day1/members/cathal/08_0346.webp,manifest_fill,0,outputs/03_anonymisation/04_diffusion/images/day1/members/cathal/08_0346.webp
67,day4/members/florian/10_0112.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day4/members/florian/10_0112.webp
68,day1/members/florian/13_0133.webp,manifest_fill,1,outputs/03_anonymisation/04_diffusion/images/day1/members/florian/13_0133.webp
69,day2/members/tien/19_0311.webp,manifest_fill,2,outputs/03_anonymisation/04_diffusion/images/day2/members/tien/19_0311.webp
70,day3/members/werner/08_0688.webp,manifest_fill,3,outputs/03_anonymisation/04_diffusion/images/day3/members/werner/08_0688.webp
