relative_path,day_id,camera_stream_id,view_type,blur_level_label,face_size_label,occlusion_ratio_label,webp_artefact_severity_label,blur_score,face_size_px,occlusion_ratio,webp_artifact_score,image_width,image_height,face_box_count,dominant_face_box
day2/fixed/living1/15_0611.webp,day2,living1,exocentric,high,small,low,low,65.99861750047772,76.68115805072325,0.0596938775510204,0.43577587846652843,3840,2160,4,"[1305, 600, 1375, 684]"
day3/members/stevan/12_0360.webp,day3,stevan,egocentric,high,small,low,medium,778.6628246970454,0.0,1.0,0.8075544772272991,3840,2160,0,
day3/fixed/living2/11_0405.webp,day3,living2,exocentric,high,medium,low,high,232.35707772356523,65.4828221749796,0.9169776119402985,0.4744616485631905,3840,2160,1,"[1161, 641, 1225, 708]"
day2/members/florian/17_0677.webp,day2,florian,egocentric,high,large,medium,high,51.86719268307294,0.0,1.0,0.2265482940160588,3840,2160,0,
day3/members/florian/14_0189.webp,day3,florian,egocentric,high,large,medium,medium,388.5903809734133,0.0,1.0,0.5586351344031,3840,2160,0,
day4/fixed/reading/16_0529.webp,day4,reading,exocentric,low,small,high,low,21.280402801846463,0.0,1.0,0.4061525941145945,3840,2160,0,
day1/fixed/living1/15_0221.webp,day1,living1,exocentric,high,large,low,low,150.87214371765543,91.43303560529968,0.08516746411483256,0.38369650708464764,3840,2160,4,"[1951, 243, 2039, 338]"
day4/fixed/living2/14_0141.webp,day4,living2,exocentric,high,medium,low,medium,73.46026427394895,71.49825172687791,0.1887715179968701,0.19341948332760062,3840,2160,1,"[1872, 327, 1944, 398]"
day1/members/florian/09_0223.webp,day1,florian,egocentric,high,large,medium,medium,51.61402729355624,465.89269150738994,0.34454702933805104,0.2645706113705324,3840,2160,5,"[3255, 1205, 3654, 1749]"
day3/members/onanong/11_0508.webp,day3,onanong,egocentric,medium,large,high,high,40.298027341673105,321.4996111972766,0.1979644356726844,0.4114702796646359,3840,2160,3,"[2350, 1069, 2672, 1390]"
day2/fixed/living2/09_0571.webp,day2,living2,exocentric,high,medium,low,high,59.68958013784097,82.95782060782456,0.2863993025283348,0.5103830047204538,3840,2160,1,"[1935, 851, 2009, 944]"
day2/fixed/reading/12_0297.webp,day2,reading,exocentric,low,large,high,low,41.165454145046546,0.0,1.0,0.5743003008218572,3840,2160,0,
day1/members/allie/08_0415.webp,day1,allie,egocentric,medium,large,high,high,47.36105877654098,338.58381532495025,0.201057231832099,0.41956022291231454,3840,2160,3,"[3377, 730, 3686, 1101]"
day1/members/cathal/08_0608.webp,day1,cathal,egocentric,medium,medium,medium,medium,19.677315889652416,0.0,1.0,0.4326332187839901,3840,2160,0,
day3/fixed/living1/12_0417.webp,day3,living1,exocentric,high,large,low,high,301.8852516133029,0.0,1.0,0.3713726688715502,3840,2160,0,
day2/members/cathal/17_0452.webp,day2,cathal,egocentric,medium,medium,medium,high,86.83362039406786,0.0,1.0,0.5371768040553313,3840,2160,0,
day2/fixed/living1/09_0272.webp,day2,living1,exocentric,high,small,low,low,56.45401427259243,0.0,1.0,0.3723539750387683,3840,2160,0,
day3/members/tien/18_0101.webp,day3,tien,egocentric,medium,large,medium,low,30.662021845561945,239.86246058939693,0.14476657280912153,0.39617668378726156,3840,2160,6,"[3464, 482, 3687, 740]"
day1/members/florian/19_0304.webp,day1,florian,egocentric,low,medium,medium,low,21.921491608796295,102.82509421342633,0.24855764683628112,0.4299915601168425,3840,2160,2,"[1223, 363, 1320, 472]"
day3/members/bjorn/16_0144.webp,day3,bjorn,egocentric,medium,large,medium,low,22.01539134811863,0.0,1.0,0.38534353592971815,3840,2160,0,
day3/members/onanong/13_0406.webp,day3,onanong,egocentric,high,large,high,low,88.50359857062608,370.2539668929963,0.387327847805789,0.38365696892468737,3840,2160,3,"[1375, 879, 1732, 1263]"
day2/fixed/kitchen/16_0142.webp,day2,kitchen,exocentric,medium,medium,high,medium,94.0173706265609,92.03260291874831,0.11133412042502955,0.4942427807130998,3840,2160,3,"[844, 446, 914, 567]"
day1/fixed/reading/13_0406.webp,day1,reading,exocentric,low,small,high,medium,29.39537277861335,49.4368283772331,0.973404255319149,0.515346896001752,3840,2160,1,"[2540, 794, 2592, 841]"
day2/fixed/living2/13_0257.webp,day2,living2,exocentric,high,medium,low,low,218.41482974223854,64.26507605223851,0.4184019370460048,0.44961148518613303,3840,2160,2,"[344, 765, 414, 824]"
