relative_path,variant,output_path,boxes_count,runtime_seconds,returncode,status,stdout_tail,stderr_tail
day1/members/allie/10_0122.webp,stylegan_trunc_0.7_seed_0,outputs/03_anonymisation/06_styleid_fams/styleid_images/10_0122.webp,2,18.002,0,ok,"{
  ""method"": ""stylegan"",
  ""boxes_processed"": 2,
  ""backend_root"": ""third_party/styleid"",
  ""runner_path"": ""scripts/anonymisation/run_styleid_backend.py"",
  ""model_path"": ""third_party/styleid/pretrained_models/stylegan2-ffhq-config-f.pt"",
  ""model_id"": null,
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/10_0122.webp,fams_size_512_steps_15_guide_4_degree_1_iou_0.15,outputs/03_anonymisation/06_styleid_fams/fams_images/10_0122.webp,2,152.223,0,ok,"{
  ""method"": ""fams"",
  ""boxes_processed"": 2,
  ""backend_root"": ""third_party/face_anon_simple"",
  ""runner_path"": ""scripts/anonymisation/run_fams_backend.py"",
  ""model_path"": null,
  ""model_id"": ""hkung/face-anon-simple"",
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/10_0212.webp,stylegan_trunc_0.7_seed_0,outputs/03_anonymisation/06_styleid_fams/styleid_images/10_0212.webp,7,19.561,0,ok,"{
  ""method"": ""stylegan"",
  ""boxes_processed"": 7,
  ""backend_root"": ""third_party/styleid"",
  ""runner_path"": ""scripts/anonymisation/run_styleid_backend.py"",
  ""model_path"": ""third_party/styleid/pretrained_models/stylegan2-ffhq-config-f.pt"",
  ""model_id"": null,
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/10_0212.webp,fams_size_512_steps_15_guide_4_degree_1_iou_0.15,outputs/03_anonymisation/06_styleid_fams/fams_images/10_0212.webp,7,231.359,0,ok,"{
  ""method"": ""fams"",
  ""boxes_processed"": 7,
  ""backend_root"": ""third_party/face_anon_simple"",
  ""runner_path"": ""scripts/anonymisation/run_fams_backend.py"",
  ""model_path"": null,
  ""model_id"": ""hkung/face-anon-simple"",
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/10_0311.webp,stylegan_trunc_0.7_seed_0,outputs/03_anonymisation/06_styleid_fams/styleid_images/10_0311.webp,4,17.936,0,ok,"{
  ""method"": ""stylegan"",
  ""boxes_processed"": 4,
  ""backend_root"": ""third_party/styleid"",
  ""runner_path"": ""scripts/anonymisation/run_styleid_backend.py"",
  ""model_path"": ""third_party/styleid/pretrained_models/stylegan2-ffhq-config-f.pt"",
  ""model_id"": null,
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/10_0311.webp,fams_size_512_steps_15_guide_4_degree_1_iou_0.15,outputs/03_anonymisation/06_styleid_fams/fams_images/10_0311.webp,4,172.567,0,ok,"{
  ""method"": ""fams"",
  ""boxes_processed"": 4,
  ""backend_root"": ""third_party/face_anon_simple"",
  ""runner_path"": ""scripts/anonymisation/run_fams_backend.py"",
  ""model_path"": null,
  ""model_id"": ""hkung/face-anon-simple"",
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/10_0320.webp,stylegan_trunc_0.7_seed_0,outputs/03_anonymisation/06_styleid_fams/styleid_images/10_0320.webp,5,18.816,0,ok,"{
  ""method"": ""stylegan"",
  ""boxes_processed"": 5,
  ""backend_root"": ""third_party/styleid"",
  ""runner_path"": ""scripts/anonymisation/run_styleid_backend.py"",
  ""model_path"": ""third_party/styleid/pretrained_models/stylegan2-ffhq-config-f.pt"",
  ""model_id"": null,
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/10_0320.webp,fams_size_512_steps_15_guide_4_degree_1_iou_0.15,outputs/03_anonymisation/06_styleid_fams/fams_images/10_0320.webp,5,195.846,0,ok,"{
  ""method"": ""fams"",
  ""boxes_processed"": 5,
  ""backend_root"": ""third_party/face_anon_simple"",
  ""runner_path"": ""scripts/anonymisation/run_fams_backend.py"",
  ""model_path"": null,
  ""model_id"": ""hkung/face-anon-simple"",
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/10_0529.webp,stylegan_trunc_0.7_seed_0,outputs/03_anonymisation/06_styleid_fams/styleid_images/10_0529.webp,4,17.339,0,ok,"{
  ""method"": ""stylegan"",
  ""boxes_processed"": 4,
  ""backend_root"": ""third_party/styleid"",
  ""runner_path"": ""scripts/anonymisation/run_styleid_backend.py"",
  ""model_path"": ""third_party/styleid/pretrained_models/stylegan2-ffhq-config-f.pt"",
  ""model_id"": null,
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/10_0529.webp,fams_size_512_steps_15_guide_4_degree_1_iou_0.15,outputs/03_anonymisation/06_styleid_fams/fams_images/10_0529.webp,4,182.59,0,ok,"{
  ""method"": ""fams"",
  ""boxes_processed"": 4,
  ""backend_root"": ""third_party/face_anon_simple"",
  ""runner_path"": ""scripts/anonymisation/run_fams_backend.py"",
  ""model_path"": null,
  ""model_id"": ""hkung/face-anon-simple"",
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/14_0050.webp,stylegan_trunc_0.7_seed_0,outputs/03_anonymisation/06_styleid_fams/styleid_images/14_0050.webp,1,17.299,0,ok,"{
  ""method"": ""stylegan"",
  ""boxes_processed"": 1,
  ""backend_root"": ""third_party/styleid"",
  ""runner_path"": ""scripts/anonymisation/run_styleid_backend.py"",
  ""model_path"": ""third_party/styleid/pretrained_models/stylegan2-ffhq-config-f.pt"",
  ""model_id"": null,
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/14_0050.webp,fams_size_512_steps_15_guide_4_degree_1_iou_0.15,outputs/03_anonymisation/06_styleid_fams/fams_images/14_0050.webp,1,110.077,0,ok,"{
  ""method"": ""fams"",
  ""boxes_processed"": 1,
  ""backend_root"": ""third_party/face_anon_simple"",
  ""runner_path"": ""scripts/anonymisation/run_fams_backend.py"",
  ""model_path"": null,
  ""model_id"": ""hkung/face-anon-simple"",
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/14_0528.webp,stylegan_trunc_0.7_seed_0,outputs/03_anonymisation/06_styleid_fams/styleid_images/14_0528.webp,3,17.057,0,ok,"{
  ""method"": ""stylegan"",
  ""boxes_processed"": 3,
  ""backend_root"": ""third_party/styleid"",
  ""runner_path"": ""scripts/anonymisation/run_styleid_backend.py"",
  ""model_path"": ""third_party/styleid/pretrained_models/stylegan2-ffhq-config-f.pt"",
  ""model_id"": null,
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/14_0528.webp,fams_size_512_steps_15_guide_4_degree_1_iou_0.15,outputs/03_anonymisation/06_styleid_fams/fams_images/14_0528.webp,3,153.321,0,ok,"{
  ""method"": ""fams"",
  ""boxes_processed"": 3,
  ""backend_root"": ""third_party/face_anon_simple"",
  ""runner_path"": ""scripts/anonymisation/run_fams_backend.py"",
  ""model_path"": null,
  ""model_id"": ""hkung/face-anon-simple"",
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/18_0298.webp,stylegan_trunc_0.7_seed_0,outputs/03_anonymisation/06_styleid_fams/styleid_images/18_0298.webp,6,18.869,0,ok,"{
  ""method"": ""stylegan"",
  ""boxes_processed"": 6,
  ""backend_root"": ""third_party/styleid"",
  ""runner_path"": ""scripts/anonymisation/run_styleid_backend.py"",
  ""model_path"": ""third_party/styleid/pretrained_models/stylegan2-ffhq-config-f.pt"",
  ""model_id"": null,
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/18_0298.webp,fams_size_512_steps_15_guide_4_degree_1_iou_0.15,outputs/03_anonymisation/06_styleid_fams/fams_images/18_0298.webp,6,212.865,0,ok,"{
  ""method"": ""fams"",
  ""boxes_processed"": 6,
  ""backend_root"": ""third_party/face_anon_simple"",
  ""runner_path"": ""scripts/anonymisation/run_fams_backend.py"",
  ""model_path"": null,
  ""model_id"": ""hkung/face-anon-simple"",
  ""python_executable"": "".venv/bin/python""
}",
day1/members/allie/19_0429.webp,stylegan_trunc_0.7_seed_0,outputs/03_anonymisation/06_styleid_fams/styleid_images/19_0429.webp,4,18.267,0,ok,"{
  ""method"": ""stylegan"",
  ""boxes_processed"": 4,
  ""backend_root"": ""third_party/styleid"",
  ""runner_path"": ""scripts/anonymisation/run_styleid_backend.py"",
  ""model_path"": ""third_party/styleid/pretrained_models/stylegan2-ffhq-config-f.pt"",
  ""model_id"": null,
  ""python_executable"": "".venv/bin/python""
}",
