relative_path,method,output_path,boxes_processed,tiling_required,runtime_seconds,status,error
day3/members/stevan/20_0682.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day3/members/stevan/20_0682.webp,5,False,10.327152,ok,
day1/members/luca/12_0078.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day1/members/luca/12_0078.webp,0,False,0.57976,ok,
day3/members/tien/14_0649.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day3/members/tien/14_0649.webp,7,False,6.217257,ok,
day2/members/bjorn/16_0250.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day2/members/bjorn/16_0250.webp,0,False,0.725532,ok,
day1/members/stevan/10_0179.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day1/members/stevan/10_0179.webp,4,False,3.678828,ok,
day3/members/werner/08_0619.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day3/members/werner/08_0619.webp,2,False,2.252372,ok,
day3/members/tien/10_0512.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day3/members/tien/10_0512.webp,0,False,0.519639,ok,
day1/members/werner/14_0048.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day1/members/werner/14_0048.webp,0,False,0.534576,ok,
day1/members/klaus/17_0206.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day1/members/klaus/17_0206.webp,2,False,1.639084,ok,
day4/members/florian/11_0412.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day4/members/florian/11_0412.webp,3,False,2.450481,ok,
day1/members/allie/18_0412.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day1/members/allie/18_0412.webp,3,False,2.097843,ok,
day2/members/klaus/18_0601.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day2/members/klaus/18_0601.webp,2,False,1.801068,ok,
day4/members/allie/12_0604.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day4/members/allie/12_0604.webp,3,False,2.728548,ok,
day1/members/onanong/08_0572.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day1/members/onanong/08_0572.webp,2,False,2.2829,ok,
day3/members/stevan/09_0286.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day3/members/stevan/09_0286.webp,2,False,1.532449,ok,
day3/members/tien/20_0434.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day3/members/tien/20_0434.webp,3,False,3.27573,ok,
day4/members/werner/18_0362.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day4/members/werner/18_0362.webp,0,False,0.564632,ok,
day1/members/cathal/12_0342.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day1/members/cathal/12_0342.webp,4,False,2.709801,ok,
day3/members/florian/19_0198.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day3/members/florian/19_0198.webp,1,False,1.555946,ok,
day4/members/allie/18_0334.webp,diffusion_low_step,outputs/03_anonymisation/04_diffusion/images/day4/members/allie/18_0334.webp,1,False,1.487633,ok,
