relative_path,box_count,face_count_category,face_scale_category,condition_label,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,manual_no_face,manual_single_face,manual_multi_face,manual_small_face,manual_medium_face,manual_large_face,manual_mixed_scale_face,manual_very_small_or_distant_face,manual_edge_or_partial_face,manual_profile_or_occluded_face,manual_downward_egocentric_view,manual_motion_blur_or_low_sharpness,manual_low_light_or_dim,manual_high_clutter,text_present,screen_present,no_text_screen_risk,multimodal_risk_state,method,output_path,boxes_processed,runtime_seconds,status,success,SSIM,LPIPS,AdaFace_cosine_mean,AdaFace_reid_rate,ArcFace_cosine_mean,ArcFace_reid_rate,face_crop_count_x,runtime_for_score,privacy_residual_rate,privacy_score,lpips_utility_score,utility_score,runtime_score,success_score,privacy_first_score,balanced_oapr_anonymisation_score,utility_preserving_score,runtime_practical_score,tiling_required,error,box_count_manifest,source,face_crop_count_y,crop_ssim_mean,crop_lpips_mean,facenet_cosine_mean,facenet_reid_rate_050,facenet_reid_rate_060,facenet_reid_rate_070,landmark_pair_rate,landmark_error_mean,landmark_geometry_score,background_preservation_score,face_region_utility_score,metric_status,third_attacker_reid_rate,privacy_score_three_attacker,enhanced_success_score,enhanced_utility_score,runtime_score_constrained,runtime_score_high_compute,enhanced_balanced_score,enhanced_high_compute_score
day3/members/stevan/20_0682.webp,6,multi_face,mixed_scale,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,yes,yes,no,no,no,medium,False,False,True,False,True,False,True,False,True,True,False,False,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day3/members/stevan/20_0682.webp,5.0,0.584038,ok,1.0,0.9905861404702706,0.0128493746742606,0.3511819750070571,0.2,0.4683051526546478,0.2,5.0,0.584038,0.2,0.8,0.7430125065147877,0.8667993234925291,0.8831924,1.0,0.8341795185238792,0.8483590370477587,0.8617189017462645,0.8583175846985059,,,,,6,0.89553438824958,0.2646329700946808,0.2738551795482635,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.7391976679997201,0.0,0.9993180632591248,0.481120543389432,ok,0.1666666666666666,0.8111111111111111,1.0,0.6872118074176401,0.8897563658208576,0.9083213817119927,0.8006947343629333,0.7914957572373292
day1/members/luca/12_0078.webp,0,no_face,none,no_face|motion_blur_or_low_sharpness|clutter_low,no,no,no,yes,no,low,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/luca/12_0078.webp,0.0,0.423348,ok,1.0,0.998423718132452,0.0005004100967198,,,,,,0.423348,0.0,1.0,0.9899917980656028,0.9942077580990274,0.9153304,1.0,0.994897683714854,0.9897953674297084,0.9886369190495138,0.9734406716198056,,,,,0,,,,,,,,,,0.9995323419570924,,no_face,,1.0,1.0,0.9942077580990274,0.9188158110000565,0.9296407905377905,0.9901439085297139,0.9944547548615491
day3/members/tien/14_0649.webp,7,multi_face,mixed_scale,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_low,yes,yes,no,no,no,low,False,False,True,False,False,False,True,False,True,True,False,False,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day3/members/tien/14_0649.webp,7.0,0.448028,ok,1.0,0.987560329927959,0.0167797338217496,0.4118122543607439,0.2857142857142857,0.4515455876077924,0.0,7.0,0.448028,0.1428571428571428,0.8571428571428572,0.6644053235650063,0.8259828267464826,0.9103944,1.0,0.8694171440119723,0.8674057165953734,0.8611737105160984,0.8811720282064395,,,,,7,0.8397244783126315,0.3769715130329132,0.264361172914505,0.1428571428571428,0.0,0.0,0.1428571428571428,0.2332392425440859,0.3336021641597545,0.9993492364883424,0.4658316103560271,ok,0.0,0.9047619047619048,1.0,0.6632438595254408,0.9142917108216644,0.9262144742103614,0.8427832813207511,0.8308270269253747
day2/members/bjorn/16_0250.webp,0,no_face,none,no_face|downward_egocentric|clutter_high,no,no,yes,no,no,high,True,False,False,False,False,False,False,False,False,False,True,False,False,True,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day2/members/bjorn/16_0250.webp,0.0,0.56478,ok,1.0,0.9982958441504556,0.0001873187138698,,,,,,0.56478,0.0,1.0,0.996253625722602,0.9972747349365289,0.887044,1.0,0.9939434102404792,0.9878868204809584,0.9873417674682644,0.9655681469873058,,,,,0,,,,,,,,,,0.9990634322166444,,no_face,,1.0,1.0,0.9972747349365289,0.8931899596096432,0.9107593649161734,0.9885014164419229,0.9945841254735938
day1/members/stevan/10_0179.webp,4,multi_face,medium,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_low,yes,yes,no,no,no,low,False,False,True,False,True,False,False,False,True,True,False,False,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/stevan/10_0179.webp,4.0,0.475452,ok,1.0,0.9940577525859084,0.0056589976884424,0.0988288526423275,0.0,0.3202253766357898,0.0,4.0,0.475452,0.0,1.0,0.8868200462311506,0.9404388994085296,0.9049096,1.0,0.9863113149112792,0.9726226298225588,0.9607104097042648,0.9595606598817058,,,,,4,0.8441853861525456,0.4144082963466644,0.2779300510883331,0.25,0.25,0.25,0.0,,0.0,0.9992146492004396,0.3382607332547684,ok,0.25,0.9166666666666666,1.0,0.6452273913108401,0.9092907308706141,0.9224750470020987,0.8428306238136467,0.8302866726422322
day3/members/werner/08_0619.webp,2,multi_face,medium,multi_face|medium|clutter_high,no,no,no,no,no,high,False,False,True,False,True,False,False,False,False,False,False,False,False,True,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day3/members/werner/08_0619.webp,2.0,0.5346,ok,1.0,0.9939068562970208,0.0044664284214377,0.466081827878952,0.0,0.367473691701889,0.0,2.0,0.5346,0.0,1.0,0.9106714315712452,0.952289143934133,0.89308,1.0,0.98749737159012,0.9749947431802398,0.9654525719670664,0.9583818287868264,,,,,2,0.7698285873818927,0.5081606507301331,0.1020487248897552,0.0,0.0,0.0,0.0,,0.0,0.99892395734787,0.2809560550879425,ok,0.0,1.0,1.0,0.6212860808524114,0.8985975579195036,0.9146410456082309,0.8762455800476738,0.8631821805787555
day3/members/tien/10_0512.webp,0,no_face,none,no_face|motion_blur_or_low_sharpness|clutter_low,no,no,no,yes,no,low,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day3/members/tien/10_0512.webp,0.0,0.425774,ok,1.0,0.9973161050389104,0.0011715425644069,,,,,,0.425774,0.0,1.0,0.9765691487118602,0.9869426268753854,0.9148452,1.0,0.9937836540313078,0.9875673080626156,0.9849558334376928,0.9718420853750772,,,,,0,,,,,,,,,,0.999291718006134,,no_face,,1.0,1.0,0.9869426268753854,0.9183701097044374,0.9293013673353977,0.9879197990330593,0.9918949877731547
day1/members/werner/14_0048.webp,0,no_face,none,no_face|motion_blur_or_low_sharpness|clutter_low,no,no,no,yes,no,low,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/werner/14_0048.webp,0.0,0.446183,ok,1.0,0.9969325181217276,0.0011114164954051,,,,,,0.446183,0.0,1.0,0.9777716700918972,0.9873520941068124,0.9107634,1.0,0.993640984116022,0.9872819682320436,0.984752387053406,0.9706994388213624,,,,,0,,,,,,,,,,0.9991778135299684,,no_face,,1.0,1.0,0.9873520941068124,0.9146291467160512,0.9264685878115508,0.9876685429036489,0.9918966623279618
day1/members/klaus/17_0206.webp,2,multi_face,medium,multi_face|medium|low_light|clutter_medium,no,no,no,no,yes,medium,False,False,True,False,True,False,False,False,False,False,False,False,True,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/klaus/17_0206.webp,2.0,0.479863,ok,1.0,0.992191459024092,0.01304248906672,0.4464269280433655,0.0,0.6487759947776794,1.0,2.0,0.479863,0.5,0.5,0.7391502186655998,0.865670838844846,0.9040274,1.0,0.6250519958267269,0.7001039916534538,0.773238159422423,0.7443423877689692,,,,,2,0.899150006626566,0.2513914108276367,0.4505708813667297,0.5,0.5,0.0,0.0,,0.0,0.9992135167121888,0.4390068043560603,ok,0.5,0.5,1.0,0.6656930893871874,0.9084889083237688,0.92188007672049,0.6405568176485331,0.62908658512154
day4/members/florian/11_0412.webp,3,multi_face,small,multi_face|small|edge_or_partial|profile_or_occluded|clutter_high,yes,yes,no,no,no,high,False,False,True,True,False,False,False,False,True,True,False,False,False,True,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day4/members/florian/11_0412.webp,3.0,0.544963,ok,1.0,0.9909351065918788,0.0084261121228337,0.3791138182083766,0.0,0.4425188203652699,0.0,3.0,0.544963,0.0,1.0,0.8314777575433254,0.911206432067602,0.8910074,1.0,0.9812313348101404,0.9624626696202806,0.9447039560338012,0.9495435064135204,,,,,3,0.7272539674210537,0.5041356682777405,0.1810208410024643,0.0,0.0,0.0,0.0,,0.0,0.9990084171295166,0.2684113630293603,ok,0.0,1.0,1.0,0.5985890960546727,0.8967370533278775,0.9132996412416517,0.8692504341491896,0.855171165681218
