policy,fixed_method,policy_mean,fixed_mean,mean_difference,ci_low,ci_high,policy_win_count,fixed_win_count,tie_count
current_condition_policy,blur,0.8880325560936974,0.8833741728292924,0.004658383264404897,-0.0004309818292697114,0.010068555686666005,232,268,0
current_condition_policy,pixelate,0.8880325560936974,0.7960566641001208,0.09197589199357654,0.08130713895987454,0.10287930561068304,413,87,0
current_condition_policy,solid_mask_black,0.8880325560936974,0.8581546746593752,0.029877881434322056,0.027622609185176016,0.03215619770145033,401,18,81
current_condition_policy,layered_blur_downscale_noise,0.8880325560936974,0.8897889134252596,-0.001756357331562262,-0.00423371628062036,0.000728570756890437,140,74,286
current_condition_policy,nullface,0.8880325560936974,0.8042390503023596,0.08379350579133776,0.07756053872201639,0.09018000794704019,458,42,0
current_condition_policy,diffusion_low_step,0.8880325560936974,0.8734753363223796,0.014557219771317721,0.01054453134923702,0.01841807716820499,376,124,0
current_condition_policy,reverse_personalization,0.8880325560936974,0.770951962949893,0.11708059314380438,0.10333932654530611,0.13194649534491984,455,45,0
grouped_heldout_category_policy,blur,0.8944090233848974,0.8833741728292924,0.011034850555605047,0.00664182902659558,0.016037598936250137,200,125,175
grouped_heldout_category_policy,pixelate,0.8944090233848974,0.7960566641001208,0.09835235928477669,0.087087439778715,0.10967931409060101,434,60,6
grouped_heldout_category_policy,solid_mask_black,0.8944090233848974,0.8581546746593752,0.036254348725522204,0.03290255632006269,0.03943501256888287,473,27,0
grouped_heldout_category_policy,layered_blur_downscale_noise,0.8944090233848974,0.8897889134252596,0.004620109959637886,0.002673140387625044,0.006260957496436727,280,34,186
grouped_heldout_category_policy,nullface,0.8944090233848974,0.8042390503023596,0.09016997308253792,0.0837314859150865,0.09697497554052836,485,15,0
grouped_heldout_category_policy,diffusion_low_step,0.8944090233848974,0.8734753363223796,0.02093368706251787,0.017115088922767266,0.0246626660065381,407,93,0
grouped_heldout_category_policy,reverse_personalization,0.8944090233848974,0.770951962949893,0.12345706043500454,0.10986309383187913,0.1380977448072712,483,17,0
privacy_constrained_pareto,blur,0.8836203233522235,0.8833741728292924,0.0002461505229311081,-0.0053939074569613905,0.006334152273568476,218,236,46
privacy_constrained_pareto,pixelate,0.8836203233522235,0.7960566641001208,0.08756365925210274,0.07583485103331174,0.09946199145786322,406,85,9
privacy_constrained_pareto,solid_mask_black,0.8836203233522235,0.8581546746593752,0.02546564869284827,0.022977225032644145,0.028118124846914838,428,61,11
privacy_constrained_pareto,layered_blur_downscale_noise,0.8836203233522235,0.8897889134252596,-0.006168590073036051,-0.00940717102836075,-0.002871554572942291,231,254,15
privacy_constrained_pareto,nullface,0.8836203233522235,0.8042390503023596,0.07938127304986396,0.07232607147676651,0.08674637892364213,408,2,90
privacy_constrained_pareto,diffusion_low_step,0.8836203233522235,0.8734753363223796,0.010144987029843932,0.006627057416586109,0.01383578247692251,290,160,50
privacy_constrained_pareto,reverse_personalization,0.8836203233522235,0.770951962949893,0.11266836040233061,0.09833590910169869,0.12825757859952666,348,6,146
privacy_verifying_cascade,blur,0.9008627325591113,0.8833741728292924,0.017488559729818946,0.012320488965624179,0.023289214904894762,258,83,159
privacy_verifying_cascade,pixelate,0.9008627325591113,0.7960566641001208,0.10480606845899057,0.09316089235571197,0.11668944020395376,410,6,84
privacy_verifying_cascade,solid_mask_black,0.9008627325591113,0.8581546746593752,0.042708057899736106,0.039961698071980536,0.04559416055482252,456,8,36
privacy_verifying_cascade,layered_blur_downscale_noise,0.9008627325591113,0.8897889134252596,0.011073819133851786,0.00860863528812842,0.013819233483047142,402,56,42
privacy_verifying_cascade,nullface,0.9008627325591113,0.8042390503023596,0.0966236822567518,0.09015656949450908,0.10357152650344774,489,0,11
privacy_verifying_cascade,diffusion_low_step,0.9008627325591113,0.8734753363223796,0.027387396236731767,0.02412977680692935,0.03078608114427796,397,68,35
privacy_verifying_cascade,reverse_personalization,0.9008627325591113,0.770951962949893,0.1299107696092184,0.1157010823714011,0.1450631388962891,486,14,0
