relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed,image_path,condition_label,source_protocol,box_count,annotation_status,review_method,face_count_category,face_scale_category,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,text_screen_risk,outdoor_vehicle_scene,category_review_status,category_notes,image_id,manual_review_status,manual_face_count,reviewed_face_boxes_json
day3/members/stevan/20_0682.webp,20_0682.webp,webp,134156,b483725d4dd4cb4a09c8010c919acacdab58b75eee400cbe7925129f48914999,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,20_0682,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/stevan/20_0682.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,6,reviewed,manual reviewer-app verification by the project reviewers,multi_face,mixed_scale,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",day3/members/stevan/20_0682.webp,yes,6,"[{""x1"":2365,""y1"":1114,""x2"":2783,""y2"":1666},{""x1"":109,""y1"":1093,""x2"":222,""y2"":1243},{""x1"":479,""y1"":1065,""x2"":596,""y2"":1219},{""x1"":1178,""y1"":1153,""x2"":1391,""y2"":1393},{""x1"":868,""y1"":1131,""x2"":986,""y2"":1294},{""x1"":1113,""y1"":1173,""x2"":1218,""y2"":1317}]"
day1/members/luca/12_0078.webp,12_0078.webp,webp,95782,bcd9cd8c1c9818fc7e639ce6b68dd04ce73b9deed9ede7b4dc1306bae78693ac,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,12_0078,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/luca/12_0078.webp,no_face|motion_blur_or_low_sharpness|clutter_low,locked_500_anonymisation_oapr_manifest,0,reviewed,manual reviewer-app verification by the project reviewers,no_face,none,no,no,no,yes,no,low,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",day1/members/luca/12_0078.webp,yes,0,[]
day3/members/tien/14_0649.webp,14_0649.webp,webp,183662,2999c958efaea1cdecc451bc7008d15cc285089ef1596c5bd644064edc9506f1,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,14_0649,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/tien/14_0649.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_low,locked_500_anonymisation_oapr_manifest,7,reviewed,manual reviewer-app verification by the project reviewers,multi_face,mixed_scale,yes,yes,no,no,no,low,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",day3/members/tien/14_0649.webp,yes,7,"[{""x1"":2792,""y1"":1559,""x2"":3247,""y2"":2144},{""x1"":1092,""y1"":1827,""x2"":1196,""y2"":1942},{""x1"":129,""y1"":1765,""x2"":237,""y2"":1927},{""x1"":1337,""y1"":1787,""x2"":1439,""y2"":1907},{""x1"":1521,""y1"":2015,""x2"":1725,""y2"":2160},{""x1"":1491,""y1"":1795,""x2"":1569,""y2"":1919},{""x1"":719,""y1"":1813,""x2"":820,""y2"":1932}]"
day2/members/bjorn/16_0250.webp,16_0250.webp,webp,456538,3b72ccc64a451bace6d83d9e519563b0f54023872e91dd4a26fde69dce23de11,3840,2160,bjorn,egocentric,bjorn,day2,ok,valid,day2,16_0250,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/bjorn/16_0250.webp,no_face|downward_egocentric|clutter_high,locked_500_anonymisation_oapr_manifest,0,reviewed,manual reviewer-app verification by the project reviewers,no_face,none,no,no,yes,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",day2/members/bjorn/16_0250.webp,yes,0,[]
day1/members/stevan/10_0179.webp,10_0179.webp,webp,200560,f0fa2cb74274ae58344894b82b8a96c9fe107d4563a8872ab4eac5128acf4c2a,3840,2160,stevan,egocentric,stevan,day1,ok,valid,day1,10_0179,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/stevan/10_0179.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_low,locked_500_anonymisation_oapr_manifest,4,reviewed,manual reviewer-app verification by the project reviewers,multi_face,medium,yes,yes,no,no,no,low,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",day1/members/stevan/10_0179.webp,yes,4,"[{""x1"":3076,""y1"":1301,""x2"":3150,""y2"":1403},{""x1"":2242,""y1"":1132,""x2"":2324,""y2"":1217},{""x1"":2770,""y1"":1274,""x2"":2851,""y2"":1371},{""x1"":381,""y1"":1847,""x2"":760,""y2"":2160}]"
day3/members/werner/08_0619.webp,08_0619.webp,webp,333318,561e4a0d4f59ce27f767755e21795ec61bafeef19e625bfff85f209fea4ab380,3840,2160,werner,egocentric,werner,day3,ok,valid,day3,08_0619,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/werner/08_0619.webp,multi_face|medium|clutter_high,locked_500_anonymisation_oapr_manifest,2,reviewed,manual reviewer-app verification by the project reviewers,multi_face,medium,no,no,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",day3/members/werner/08_0619.webp,yes,2,"[{""x1"":3292,""y1"":437,""x2"":3525,""y2"":741},{""x1"":727,""y1"":637,""x2"":844,""y2"":771}]"
day3/members/tien/10_0512.webp,10_0512.webp,webp,97260,b20cb01891dc582b88ecd43cdc2d4e1f4aaecd6c8c61a782a425ce872081f60b,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,10_0512,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/tien/10_0512.webp,no_face|motion_blur_or_low_sharpness|clutter_low,locked_500_anonymisation_oapr_manifest,0,reviewed,manual reviewer-app verification by the project reviewers,no_face,none,no,no,no,yes,no,low,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",day3/members/tien/10_0512.webp,yes,0,[]
day1/members/werner/14_0048.webp,14_0048.webp,webp,110644,866f323e12e50e9581a0b4dd22f48542cc22c100d9d7d9f8fef253aeb25748b8,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,14_0048,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/werner/14_0048.webp,no_face|motion_blur_or_low_sharpness|clutter_low,locked_500_anonymisation_oapr_manifest,0,reviewed,manual reviewer-app verification by the project reviewers,no_face,none,no,no,no,yes,no,low,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",day1/members/werner/14_0048.webp,yes,0,[]
day1/members/klaus/17_0206.webp,17_0206.webp,webp,170384,1167e206d410fb45f18d29c7848cb542ebe41f318891288d7453f325a60c673a,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,17_0206,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/klaus/17_0206.webp,multi_face|medium|low_light|clutter_medium,locked_500_anonymisation_oapr_manifest,2,reviewed,manual reviewer-app verification by the project reviewers,multi_face,medium,no,no,no,no,yes,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",day1/members/klaus/17_0206.webp,yes,2,"[{""x1"":3286,""y1"":412,""x2"":3541,""y2"":816},{""x1"":198,""y1"":821,""x2"":518,""y2"":1352}]"
day4/members/florian/11_0412.webp,11_0412.webp,webp,295158,4f9a8b82a44664d46c062cd0a439063d68be78f1f250d0778f581edc55df07a5,3840,2160,florian,egocentric,florian,day4,ok,valid,day4,11_0412,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/florian/11_0412.webp,multi_face|small|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,3,reviewed,manual reviewer-app verification by the project reviewers,multi_face,small,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",day4/members/florian/11_0412.webp,yes,3,"[{""x1"":123,""y1"":778,""x2"":279,""y2"":1037},{""x1"":852,""y1"":326,""x2"":1016,""y2"":539},{""x1"":2621,""y1"":6,""x2"":2824,""y2"":252}]"
