relative_path,box_count,face_count_category,face_scale_category,condition_label,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,manual_no_face,manual_single_face,manual_multi_face,manual_small_face,manual_medium_face,manual_large_face,manual_mixed_scale_face,manual_very_small_or_distant_face,manual_edge_or_partial_face,manual_profile_or_occluded_face,manual_downward_egocentric_view,manual_motion_blur_or_low_sharpness,manual_low_light_or_dim,manual_high_clutter,text_present,screen_present,no_text_screen_risk,multimodal_risk_state,method,output_path,boxes_processed,runtime_seconds,status,success,SSIM,LPIPS,AdaFace_cosine_mean,AdaFace_reid_rate,ArcFace_cosine_mean,ArcFace_reid_rate,face_crop_count,runtime_for_score,privacy_residual_rate,privacy_score,lpips_utility_score,utility_score,runtime_score,success_score,privacy_first_score,balanced_oapr_anonymisation_score,utility_preserving_score,runtime_practical_score,tiling_required,error,box_count_manifest,source
day3/members/stevan/20_0682.webp,6,multi_face,mixed_scale,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,yes,yes,no,no,no,medium,False,False,True,False,True,False,True,False,True,True,False,False,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day3/members/stevan/20_0682.webp,5.0,0.584038,ok,1.0,0.9905861404702706,0.012849374674260616,0.35118197500705717,0.2,0.46830515265464784,0.2,5.0,0.584038,0.2,0.8,0.7430125065147877,0.8667993234925291,0.8831924,1.0,0.8341795185238792,0.8483590370477587,0.8617189017462645,0.8583175846985059,,,,
day1/members/luca/12_0078.webp,0,no_face,none,no_face|motion_blur_or_low_sharpness|clutter_low,no,no,no,yes,no,low,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/luca/12_0078.webp,0.0,0.423348,ok,1.0,0.998423718132452,0.000500410096719861,,,,,,0.423348,0.0,1.0,0.9899917980656028,0.9942077580990274,0.9153304,1.0,0.9948976837148541,0.9897953674297083,0.9886369190495138,0.9734406716198055,,,,
day3/members/tien/14_0649.webp,7,multi_face,mixed_scale,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_low,yes,yes,no,no,no,low,False,False,True,False,False,False,True,False,True,True,False,False,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day3/members/tien/14_0649.webp,7.0,0.448028,ok,1.0,0.987560329927959,0.016779733821749687,0.4118122543607439,0.2857142857142857,0.45154558760779245,0.0,7.0,0.448028,0.14285714285714285,0.8571428571428572,0.6644053235650063,0.8259828267464826,0.9103944,1.0,0.8694171440119723,0.8674057165953734,0.8611737105160984,0.8811720282064395,,,,
day2/members/bjorn/16_0250.webp,0,no_face,none,no_face|downward_egocentric|clutter_high,no,no,yes,no,no,high,True,False,False,False,False,False,False,False,False,False,True,False,False,True,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day2/members/bjorn/16_0250.webp,0.0,0.56478,ok,1.0,0.9982958441504556,0.0001873187138698995,,,,,,0.56478,0.0,1.0,0.996253625722602,0.9972747349365287,0.887044,1.0,0.9939434102404793,0.9878868204809585,0.9873417674682643,0.9655681469873058,,,,
day1/members/stevan/10_0179.webp,4,multi_face,medium,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_low,yes,yes,no,no,no,low,False,False,True,False,True,False,False,False,True,True,False,False,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/stevan/10_0179.webp,4.0,0.475452,ok,1.0,0.9940577525859083,0.005658997688442469,0.09882885264232755,0.0,0.32022537663578987,0.0,4.0,0.475452,0.0,1.0,0.8868200462311506,0.9404388994085295,0.9049096,1.0,0.9863113149112793,0.9726226298225589,0.9607104097042647,0.9595606598817058,,,,
day3/members/werner/08_0619.webp,2,multi_face,medium,multi_face|medium|clutter_high,no,no,no,no,no,high,False,False,True,False,True,False,False,False,False,False,False,False,False,True,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day3/members/werner/08_0619.webp,2.0,0.5346,ok,1.0,0.9939068562970209,0.00446642842143774,0.466081827878952,0.0,0.36747369170188904,0.0,2.0,0.5346,0.0,1.0,0.9106714315712452,0.952289143934133,0.89308,1.0,0.9874973715901199,0.9749947431802398,0.9654525719670665,0.9583818287868265,,,,
day3/members/tien/10_0512.webp,0,no_face,none,no_face|motion_blur_or_low_sharpness|clutter_low,no,no,no,yes,no,low,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day3/members/tien/10_0512.webp,0.0,0.425774,ok,1.0,0.9973161050389105,0.001171542564406991,,,,,,0.425774,0.0,1.0,0.9765691487118602,0.9869426268753854,0.9148452,1.0,0.9937836540313078,0.9875673080626156,0.9849558334376928,0.9718420853750771,,,,
day1/members/werner/14_0048.webp,0,no_face,none,no_face|motion_blur_or_low_sharpness|clutter_low,no,no,no,yes,no,low,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/werner/14_0048.webp,0.0,0.446183,ok,1.0,0.9969325181217276,0.0011114164954051375,,,,,,0.446183,0.0,1.0,0.9777716700918972,0.9873520941068124,0.9107634,1.0,0.9936409841160219,0.9872819682320437,0.9847523870534061,0.9706994388213624,,,,
day1/members/klaus/17_0206.webp,2,multi_face,medium,multi_face|medium|low_light|clutter_medium,no,no,no,no,yes,medium,False,False,True,False,True,False,False,False,False,False,False,False,True,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/klaus/17_0206.webp,2.0,0.479863,ok,1.0,0.9921914590240921,0.013042489066720009,0.4464269280433655,0.0,0.6487759947776794,1.0,2.0,0.479863,0.5,0.5,0.7391502186655998,0.865670838844846,0.9040274,1.0,0.6250519958267269,0.7001039916534538,0.773238159422423,0.7443423877689692,,,,
day4/members/florian/11_0412.webp,3,multi_face,small,multi_face|small|edge_or_partial|profile_or_occluded|clutter_high,yes,yes,no,no,no,high,False,False,True,True,False,False,False,False,True,True,False,False,False,True,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day4/members/florian/11_0412.webp,3.0,0.544963,ok,1.0,0.9909351065918787,0.008426112122833729,0.3791138182083766,0.0,0.44251882036526996,0.0,3.0,0.544963,0.0,1.0,0.8314777575433254,0.9112064320676021,0.8910074,1.0,0.9812313348101404,0.9624626696202806,0.9447039560338011,0.9495435064135204,,,,
day1/members/allie/18_0412.webp,3,multi_face,medium,multi_face|medium|motion_blur_or_low_sharpness|clutter_low,no,no,no,yes,no,low,False,False,True,False,True,False,False,False,False,False,False,True,False,False,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/18_0412.webp,3.0,0.445315,ok,1.0,0.9931154433416006,0.01111004501581192,0.397107074658076,0.0,0.6126163403193156,0.6666666666666666,3.0,0.445315,0.3333333333333333,0.6666666666666667,0.7777990996837616,0.8854572715126812,0.910937,1.0,0.7450321073935688,0.7900642147871376,0.8338223357563407,0.8170392209692029,,,,
day2/members/klaus/18_0601.webp,2,multi_face,small,multi_face|small|low_light|clutter_high,no,no,no,no,yes,high,False,False,True,True,False,False,False,False,False,False,False,False,True,True,,,,,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day2/members/klaus/18_0601.webp,2.0,0.509726,ok,1.0,0.9949099609599911,0.004171113483607769,0.4844125360250473,0.0,0.3174913078546524,0.0,2.0,0.509726,0.0,1.0,0.9165777303278446,0.9557438456439178,0.8980548,1.0,0.9882643168465877,0.9765286336931753,0.9676774028219588,0.9605652091287835,,,,
